Deutsch;Englisch;Kategorie
WiesenGruppe;meadow group;Natur & Wetter
WiesenBestand;meadow population;Natur & Wetter
GartenWeg;garden path;Natur & Wetter
GartenRand;garden edge;Natur & Wetter
GartenGebiet;garden area;Natur & Wetter
GartenLandschaft;garden landscape;Natur & Wetter
GartenBoden;garden ground;Natur & Wetter
GartenArt;garden species;Natur & Wetter
GartenSchutz;garden protection;Natur & Wetter
GartenPflege;garden care;Natur & Wetter
GartenFarbe;garden colour;Natur & Wetter
Computer;computer;Digitale Welt
Laptop;laptop;Digitale Welt
Tablet;tablet;Digitale Welt
Handy;mobile phone;Digitale Welt
Smartphone;smartphone;Digitale Welt
Bildschirm;screen;Digitale Welt
Tastatur;keyboard;Digitale Welt
Maus;mouse;Digitale Welt
Drucker;printer;Digitale Welt
Kabel;cable;Digitale Welt
Stecker;plug;Digitale Welt
Akku;battery;Digitale Welt
Ladegerät;charger;Digitale Welt
Netzwerk;network;Digitale Welt
Internet;internet;Digitale Welt
WLAN;Wi-Fi;Digitale Welt
Router;router;Digitale Welt
Passwort;password;Digitale Welt
Benutzername;username;Digitale Welt
Konto;account;Digitale Welt
Profil;profile;Digitale Welt
App;app;Digitale Welt
Programm;program;Digitale Welt
Software;software;Digitale Welt
Datei;file;Digitale Welt
Ordner;folder;Digitale Welt
Dokument;document;Digitale Welt
Bild;image;Digitale Welt
Foto;photo;Digitale Welt
Video;video;Digitale Welt
Ton;sound;Digitale Welt
Musik;music;Digitale Welt
Nachricht;message;Digitale Welt
E-Mail;email;Digitale Welt
Postfach;mailbox;Digitale Welt
Anhang;attachment;Digitale Welt
Link;link;Digitale Welt
Webseite;website;Digitale Welt
Browser;browser;Digitale Welt
Suche;search;Digitale Welt
Download;download;Digitale Welt
Upload;upload;Digitale Welt
Speicher;storage;Digitale Welt
Cloud;cloud;Digitale Welt
Kopie;copy;Digitale Welt
Sicherung;backup;Digitale Welt
Update;update;Digitale Welt
Einstellung;setting;Digitale Welt
Benachrichtigung;notification;Digitale Welt
Fehler;error;Digitale Welt
Warnung;warning;Digitale Welt
Sicherheit;security;Digitale Welt
Datenschutz;data protection;Digitale Welt
Daten;data;Digitale Welt
Adresse;address;Digitale Welt
Nummer;number;Digitale Welt
Code;code;Digitale Welt
Scanner;scanner;Digitale Welt
Kamera;camera;Digitale Welt
Mikrofon;microphone;Digitale Welt
Lautsprecher;speaker;Digitale Welt
Kopfhörer;headphones;Digitale Welt
ComputerKonto;computer account;Digitale Welt
ComputerName;computer name;Digitale Welt
ComputerNummer;computer number;Digitale Welt
ComputerOrdner;computer folder;Digitale Welt
ComputerListe;computer list;Digitale Welt
ComputerFehler;computer error;Digitale Welt
ComputerMeldung;computer message;Digitale Welt
ComputerSchutz;computer protection;Digitale Welt
ComputerEinstellung;computer setting;Digitale Welt
ComputerZugang;computer access;Digitale Welt
ComputerSpeicher;computer storage;Digitale Welt
ComputerKopie;computer copy;Digitale Welt
ComputerVersion;computer version;Digitale Welt
ComputerUpdate;computer update;Digitale Welt
ComputerSymbol;computer icon;Digitale Welt
HandyKonto;mobile account;Digitale Welt
HandyName;mobile name;Digitale Welt
HandyNummer;mobile number;Digitale Welt
HandyOrdner;mobile folder;Digitale Welt
HandyListe;mobile list;Digitale Welt
HandyFehler;mobile error;Digitale Welt
HandyMeldung;mobile message;Digitale Welt
HandySchutz;mobile protection;Digitale Welt
HandyEinstellung;mobile setting;Digitale Welt
HandyZugang;mobile access;Digitale Welt
HandySpeicher;mobile storage;Digitale Welt
HandyKopie;mobile copy;Digitale Welt
HandyVersion;mobile version;Digitale Welt
HandyUpdate;mobile update;Digitale Welt
HandySymbol;mobile icon;Digitale Welt
AppKonto;app account;Digitale Welt
AppName;app name;Digitale Welt
AppNummer;app number;Digitale Welt
AppOrdner;app folder;Digitale Welt
AppListe;app list;Digitale Welt
AppFehler;app error;Digitale Welt
AppMeldung;app message;Digitale Welt
AppSchutz;app protection;Digitale Welt
AppEinstellung;app setting;Digitale Welt
AppZugang;app access;Digitale Welt
AppSpeicher;app storage;Digitale Welt
AppKopie;app copy;Digitale Welt
AppVersion;app version;Digitale Welt
AppUpdate;app update;Digitale Welt
AppSymbol;app icon;Digitale Welt
InternetKonto;internet account;Digitale Welt
InternetName;internet name;Digitale Welt
InternetNummer;internet number;Digitale Welt
InternetOrdner;internet folder;Digitale Welt
InternetListe;internet list;Digitale Welt
InternetFehler;internet error;Digitale Welt
InternetMeldung;internet message;Digitale Welt
InternetSchutz;internet protection;Digitale Welt
InternetEinstellung;internet setting;Digitale Welt
InternetZugang;internet access;Digitale Welt
InternetSpeicher;internet storage;Digitale Welt
InternetKopie;internet copy;Digitale Welt
InternetVersion;internet version;Digitale Welt
InternetUpdate;internet update;Digitale Welt
InternetSymbol;internet icon;Digitale Welt
DatenKonto;data account;Digitale Welt
DatenName;data name;Digitale Welt
DatenNummer;data number;Digitale Welt
DatenOrdner;data folder;Digitale Welt
DatenListe;data list;Digitale Welt
DatenFehler;data error;Digitale Welt
DatenMeldung;data message;Digitale Welt
DatenEinstellung;data setting;Digitale Welt
DatenZugang;data access;Digitale Welt
DatenSpeicher;data storage;Digitale Welt
DatenKopie;data copy;Digitale Welt
DatenVersion;data version;Digitale Welt
DatenUpdate;data update;Digitale Welt
DatenSymbol;data icon;Digitale Welt
DateiKonto;file account;Digitale Welt
DateiName;file name;Digitale Welt
DateiNummer;file number;Digitale Welt
DateiOrdner;file folder;Digitale Welt
DateiListe;file list;Digitale Welt
DateiFehler;file error;Digitale Welt
DateiMeldung;file message;Digitale Welt
DateiSchutz;file protection;Digitale Welt
DateiEinstellung;file setting;Digitale Welt
DateiZugang;file access;Digitale Welt
DateiSpeicher;file storage;Digitale Welt
DateiKopie;file copy;Digitale Welt
DateiVersion;file version;Digitale Welt
DateiUpdate;file update;Digitale Welt
DateiSymbol;file icon;Digitale Welt
CloudKonto;cloud account;Digitale Welt
CloudName;cloud name;Digitale Welt
CloudNummer;cloud number;Digitale Welt
CloudOrdner;cloud folder;Digitale Welt
CloudListe;cloud list;Digitale Welt
CloudFehler;cloud error;Digitale Welt
CloudMeldung;cloud message;Digitale Welt
CloudSchutz;cloud protection;Digitale Welt
CloudEinstellung;cloud setting;Digitale Welt
CloudZugang;cloud access;Digitale Welt
CloudSpeicher;cloud storage;Digitale Welt
CloudKopie;cloud copy;Digitale Welt
CloudVersion;cloud version;Digitale Welt
CloudUpdate;cloud update;Digitale Welt
CloudSymbol;cloud icon;Digitale Welt
PasswortKonto;password account;Digitale Welt
PasswortName;password name;Digitale Welt
PasswortNummer;password number;Digitale Welt
PasswortOrdner;password folder;Digitale Welt
PasswortListe;password list;Digitale Welt
PasswortFehler;password error;Digitale Welt
PasswortMeldung;password message;Digitale Welt
PasswortSchutz;password protection;Digitale Welt
PasswortEinstellung;password setting;Digitale Welt
PasswortZugang;password access;Digitale Welt
PasswortSpeicher;password storage;Digitale Welt
PasswortKopie;password copy;Digitale Welt
PasswortVersion;password version;Digitale Welt
PasswortUpdate;password update;Digitale Welt
PasswortSymbol;password icon;Digitale Welt
BenutzerKonto;user account;Digitale Welt
BenutzerName;user name;Digitale Welt
BenutzerNummer;user number;Digitale Welt
BenutzerOrdner;user folder;Digitale Welt
BenutzerListe;user list;Digitale Welt
BenutzerFehler;user error;Digitale Welt
BenutzerMeldung;user message;Digitale Welt
BenutzerSchutz;user protection;Digitale Welt
BenutzerEinstellung;user setting;Digitale Welt
BenutzerZugang;user access;Digitale Welt
BenutzerSpeicher;user storage;Digitale Welt
BenutzerKopie;user copy;Digitale Welt
BenutzerVersion;user version;Digitale Welt
BenutzerUpdate;user update;Digitale Welt
BenutzerSymbol;user icon;Digitale Welt
SystemKonto;system account;Digitale Welt
SystemName;system name;Digitale Welt
SystemNummer;system number;Digitale Welt
SystemOrdner;system folder;Digitale Welt
SystemListe;system list;Digitale Welt
SystemFehler;system error;Digitale Welt
SystemMeldung;system message;Digitale Welt
SystemSchutz;system protection;Digitale Welt
SystemEinstellung;system setting;Digitale Welt
SystemZugang;system access;Digitale Welt
SystemSpeicher;system storage;Digitale Welt
SystemKopie;system copy;Digitale Welt
SystemVersion;system version;Digitale Welt
SystemUpdate;system update;Digitale Welt
SystemSymbol;system icon;Digitale Welt
SoftwareKonto;software account;Digitale Welt
SoftwareName;software name;Digitale Welt
SoftwareNummer;software number;Digitale Welt
SoftwareOrdner;software folder;Digitale Welt
SoftwareListe;software list;Digitale Welt
SoftwareFehler;software error;Digitale Welt
SoftwareMeldung;software message;Digitale Welt
SoftwareSchutz;software protection;Digitale Welt
SoftwareEinstellung;software setting;Digitale Welt
SoftwareZugang;software access;Digitale Welt
SoftwareSpeicher;software storage;Digitale Welt
SoftwareKopie;software copy;Digitale Welt
SoftwareVersion;software version;Digitale Welt
SoftwareUpdate;software update;Digitale Welt
SoftwareSymbol;software icon;Digitale Welt
GeräteKonto;device account;Digitale Welt
GeräteName;device name;Digitale Welt
GeräteNummer;device number;Digitale Welt
GeräteOrdner;device folder;Digitale Welt
GeräteListe;device list;Digitale Welt
GeräteFehler;device error;Digitale Welt
GeräteMeldung;device message;Digitale Welt
GeräteSchutz;device protection;Digitale Welt
GeräteEinstellung;device setting;Digitale Welt
GeräteZugang;device access;Digitale Welt
GeräteSpeicher;device storage;Digitale Welt
GeräteKopie;device copy;Digitale Welt
GeräteVersion;device version;Digitale Welt
GeräteUpdate;device update;Digitale Welt
GeräteSymbol;device icon;Digitale Welt
SicherheitsKonto;security account;Digitale Welt
SicherheitsName;security name;Digitale Welt
SicherheitsNummer;security number;Digitale Welt
SicherheitsOrdner;security folder;Digitale Welt
SicherheitsListe;security list;Digitale Welt
SicherheitsFehler;security error;Digitale Welt
SicherheitsMeldung;security message;Digitale Welt
SicherheitsSchutz;security protection;Digitale Welt
SicherheitsEinstellung;security setting;Digitale Welt
SicherheitsZugang;security access;Digitale Welt
SicherheitsSpeicher;security storage;Digitale Welt
SicherheitsKopie;security copy;Digitale Welt
SicherheitsVersion;security version;Digitale Welt
SicherheitsUpdate;security update;Digitale Welt
SicherheitsSymbol;security icon;Digitale Welt
E-Mail-Konto;email account;Digitale Welt
E-Mail-Name;email name;Digitale Welt
E-Mail-Nummer;email number;Digitale Welt
E-Mail-Ordner;email folder;Digitale Welt
E-Mail-Liste;email list;Digitale Welt
E-Mail-Fehler;email error;Digitale Welt
E-Mail-Meldung;email message;Digitale Welt
E-Mail-Schutz;email protection;Digitale Welt
E-Mail-Einstellung;email setting;Digitale Welt
E-Mail-Zugang;email access;Digitale Welt
E-Mail-Speicher;email storage;Digitale Welt
E-Mail-Kopie;email copy;Digitale Welt
E-Mail-Version;email version;Digitale Welt
E-Mail-Update;email update;Digitale Welt
E-Mail-Symbol;email icon;Digitale Welt
klicken;click;Digitale Welt
tippen;tap;Digitale Welt
öffnen;open;Digitale Welt
schliessen;close;Digitale Welt
speichern;save;Digitale Welt
löschen;delete;Digitale Welt
kopieren;copy;Digitale Welt
einfügen;paste;Digitale Welt
suchen;search;Digitale Welt
finden;find;Digitale Welt
laden;load;Digitale Welt
herunterladen;download;Digitale Welt
hochladen;upload;Digitale Welt
senden;send;Digitale Welt
empfangen;receive;Digitale Welt
drucken;print;Digitale Welt
scannen;scan;Digitale Welt
installieren;install;Digitale Welt
aktualisieren;update;Digitale Welt
verbinden;connect;Digitale Welt
trennen;disconnect;Digitale Welt
anmelden;log in;Digitale Welt
abmelden;log out;Digitale Welt
teilen;share;Digitale Welt
sein;be;Alltagsverben
haben;have;Alltagsverben
werden;become;Alltagsverben
können;can;Alltagsverben
müssen;must;Alltagsverben
wollen;want;Alltagsverben
sollen;should;Alltagsverben
dürfen;may;Alltagsverben
machen;do;Alltagsverben
tun;do;Alltagsverben
gehen;go;Alltagsverben
kommen;come;Alltagsverben
fahren;drive;Alltagsverben
laufen;walk;Alltagsverben
stehen;stand;Alltagsverben
sitzen;sit;Alltagsverben
liegen;lie;Alltagsverben
bleiben;stay;Alltagsverben
nehmen;take;Alltagsverben
geben;give;Alltagsverben
bringen;bring;Alltagsverben
holen;get;Alltagsverben
kaufen;buy;Alltagsverben
verkaufen;sell;Alltagsverben
zahlen;pay;Alltagsverben
kosten;cost;Alltagsverben
brauchen;need;Alltagsverben
benutzen;use;Alltagsverben
suchen;search;Alltagsverben
finden;find;Alltagsverben
sehen;see;Alltagsverben
schauen;look;Alltagsverben
hören;hear;Alltagsverben
sprechen;speak;Alltagsverben
sagen;say;Alltagsverben
fragen;ask;Alltagsverben
antworten;answer;Alltagsverben
erklären;explain;Alltagsverben
verstehen;understand;Alltagsverben
lernen;learn;Alltagsverben
lesen;read;Alltagsverben
schreiben;write;Alltagsverben
rechnen;calculate;Alltagsverben
öffnen;open;Alltagsverben
schliessen;close;Alltagsverben
beginnen;begin;Alltagsverben
starten;start;Alltagsverben
enden;end;Alltagsverben
aufhören;stop;Alltagsverben
warten;wait;Alltagsverben
helfen;help;Alltagsverben
tragen;carry;Alltagsverben
ziehen;pull;Alltagsverben
schieben;push;Alltagsverben
halten;hold;Alltagsverben
stellen;put upright;Alltagsverben
legen;put down;Alltagsverben
setzen;set;Alltagsverben
waschen;wash;Alltagsverben
putzen;clean;Alltagsverben
kochen;cook;Alltagsverben
backen;bake;Alltagsverben
essen;eat;Alltagsverben
trinken;drink;Alltagsverben
schlafen;sleep;Alltagsverben
aufwachen;wake up;Alltagsverben
arbeiten;work;Alltagsverben
planen;plan;Alltagsverben
organisieren;organise;Alltagsverben
prüfen;check;Alltagsverben
kontrollieren;check;Alltagsverben
entscheiden;decide;Alltagsverben
ändern;change;Alltagsverben
wechseln;change;Alltagsverben
reparieren;repair;Alltagsverben
bauen;build;Alltagsverben
reisen;travel;Alltagsverben
besuchen;visit;Alltagsverben
treffen;meet;Alltagsverben
rufen;call;Alltagsverben
telefonieren;phone;Alltagsverben
senden;send;Alltagsverben
empfangen;receive;Alltagsverben
speichern;save;Alltagsverben
löschen;delete;Alltagsverben
kopieren;copy;Alltagsverben
drucken;print;Alltagsverben
füllen;fill;Alltagsverben
leeren;empty;Alltagsverben
verlieren;lose;Alltagsverben
gewinnen;win;Alltagsverben
vergessen;forget;Alltagsverben
erinnern;remember;Alltagsverben
wünschen;wish;Alltagsverben
hoffen;hope;Alltagsverben
glauben;believe;Alltagsverben
denken;think;Alltagsverben
fühlen;feel;Alltagsverben
freuen;be pleased;Alltagsverben
ärgern;annoy;Alltagsverben
passen;fit;Alltagsverben
fehlen;be missing;Alltagsverben
reichen;be enough;Alltagsverben
stimmen;be correct;Alltagsverben
aufmachen;open;Alltagsverben
abmachen;remove;Alltagsverben
anmachen;turn on;Alltagsverben
ausmachen;turn off;Alltagsverben
einmachen;preserve;Alltagsverben
ummachen;put around;Alltagsverben
vormachen;demonstrate;Alltagsverben
nachmachen;imitate;Alltagsverben
mitmachen;join in;Alltagsverben
weitermachen;continue;Alltagsverben
zurückmachen;move back;Alltagsverben
wegmachen;remove;Alltagsverben
aufstellen;set up;Alltagsverben
abstellen;put down;Alltagsverben
anstellen;turn on;Alltagsverben
ausstellen;exhibit;Alltagsverben
einstellen;set;Alltagsverben
umstellen;rearrange;Alltagsverben
vorstellen;introduce;Alltagsverben
nachstellen;adjust;Alltagsverben
mitstellen;provide;Alltagsverben
weiterstellen;forward;Alltagsverben
zurückstellen;put back;Alltagsverben
wegstellen;put away;Alltagsverben
auflegen;put on;Alltagsverben
ablegen;put down;Alltagsverben
anlegen;put on;Alltagsverben
auslegen;lay out;Alltagsverben
einlegen;insert;Alltagsverben
umlegen;fold over;Alltagsverben
vorlegen;present;Alltagsverben
nachlegen;add more;Alltagsverben
mitlegen;include;Alltagsverben
weiterlegen;pass on;Alltagsverben
zurücklegen;put aside;Alltagsverben
weglegen;put away;Alltagsverben
aufsetzen;put on;Alltagsverben
absetzen;take off;Alltagsverben
ansetzen;apply;Alltagsverben
aussetzen;suspend;Alltagsverben
einsetzen;insert;Alltagsverben
umsetzen;implement;Alltagsverben
vorsetzen;serve;Alltagsverben
nachsetzen;follow up;Alltagsverben
mitsetzen;place with;Alltagsverben
weitersetzen;continue placing;Alltagsverben
zurücksetzen;reset;Alltagsverben
wegsetzen;move away;Alltagsverben
aufnehmen;record;Alltagsverben
abnehmen;take off;Alltagsverben
annehmen;accept;Alltagsverben
ausnehmen;exclude;Alltagsverben
einnehmen;take in;Alltagsverben
umnehmen;put around;Alltagsverben
vornehmen;intend;Alltagsverben
nachnehmen;take later;Alltagsverben
mitnehmen;take along;Alltagsverben
weiternehmen;continue taking;Alltagsverben
zurücknehmen;take back;Alltagsverben
wegnehmen;take away;Alltagsverben
aufgeben;give up;Alltagsverben
abgeben;hand in;Alltagsverben
angeben;state;Alltagsverben
ausgeben;spend;Alltagsverben
eingeben;enter;Alltagsverben
umgeben;surround;Alltagsverben
vorgeben;pretend;Alltagsverben
nachgeben;give in;Alltagsverben
mitgeben;give along;Alltagsverben
weitergeben;pass on;Alltagsverben
zurückgeben;give back;Alltagsverben
weggeben;give away;Alltagsverben
aufbringen;raise;Alltagsverben
abbringen;dissuade;Alltagsverben
anbringen;attach;Alltagsverben
ausbringen;spread;Alltagsverben
einbringen;contribute;Alltagsverben
umbringen;kill;Alltagsverben
vorbringen;put forward;Alltagsverben
nachbringen;bring later;Alltagsverben
mitbringen;bring along;Alltagsverben
weiterbringen;advance;Alltagsverben
zurückbringen;bring back;Alltagsverben
wegbringen;take away;Alltagsverben
aufholen;catch up;Alltagsverben
abholen;pick up;Alltagsverben
anholen;begin pulling;Alltagsverben
ausholen;reach back;Alltagsverben
einholen;obtain;Alltagsverben
umholen;knock over;Alltagsverben
vorholen;bring forward;Alltagsverben
nachholen;catch up on;Alltagsverben
mitholen;fetch along;Alltagsverben
weiterholen;keep fetching;Alltagsverben
zurückholen;bring back;Alltagsverben
wegholen;fetch away;Alltagsverben
aufschreiben;write down;Alltagsverben
abschreiben;copy off;Alltagsverben
anschreiben;write to;Alltagsverben
ausschreiben;advertise;Alltagsverben
einschreiben;register;Alltagsverben
umschreiben;rewrite;Alltagsverben
vorschreiben;prescribe;Alltagsverben
nachschreiben;write later;Alltagsverben
mitschreiben;take notes;Alltagsverben
weiterschreiben;continue writing;Alltagsverben
zurückschreiben;write back;Alltagsverben
wegschreiben;write away;Alltagsverben
auflesen;pick up;Alltagsverben
ablesen;read off;Alltagsverben
anlesen;read a little;Alltagsverben
auslesen;read out;Alltagsverben
einlesen;read in;Alltagsverben
umlesen;reread;Alltagsverben
vorlesen;read aloud;Alltagsverben
nachlesen;look up;Alltagsverben
mitlesen;read along;Alltagsverben
weiterlesen;continue reading;Alltagsverben
zurücklesen;read back;Alltagsverben
weglesen;read away;Alltagsverben
aufsuchen;visit;Alltagsverben
absuchen;search through;Alltagsverben
ansuchen;apply;Alltagsverben
aussuchen;choose;Alltagsverben
einsuchen;search in;Alltagsverben
umsuchen;search around;Alltagsverben
vorsuchen;search ahead;Alltagsverben
nachsuchen;search later;Alltagsverben
mitsuchen;help search;Alltagsverben
weitersuchen;keep searching;Alltagsverben
zurücksuchen;search back;Alltagsverben
wegsuchen;search away;Alltagsverben
auffinden;find;Alltagsverben
abfinden;settle;Alltagsverben
anfinden;find at;Alltagsverben
ausfinden;find out;Alltagsverben
einfinden;arrive;Alltagsverben
umfinden;reorient;Alltagsverben
vorfinden;find present;Alltagsverben
nachfinden;empathise;Alltagsverben
mitfinden;find as well;Alltagsverben
weiterfinden;find further;Alltagsverben
zurückfinden;find back;Alltagsverben
wegfinden;find away;Alltagsverben
anrufen;call;Alltagsverben
absagen;cancel;Alltagsverben
zusagen;accept;Alltagsverben
einladen;invite;Alltagsverben
ausladen;uninvite;Alltagsverben
aufräumen;tidy up;Alltagsverben
einräumen;put away;Alltagsverben
ausräumen;clear out;Alltagsverben
umräumen;rearrange;Alltagsverben
einschalten;switch on;Alltagsverben
ausschalten;switch off;Alltagsverben
anschauen;look at;Alltagsverben
ansehen;look at;Alltagsverben
aussehen;look;Alltagsverben
zuhören;listen;Alltagsverben
mitteilen;inform;Alltagsverben
anmelden;register;Alltagsverben
abmelden;deregister;Alltagsverben
einsteigen;get in;Alltagsverben
aussteigen;get out;Alltagsverben
umsteigen;change;Alltagsverben
einkaufen;shop;Alltagsverben
bezahlen;pay;Alltagsverben
bestellen;order;Alltagsverben
reservieren;reserve;Alltagsverben
stornieren;cancel;Alltagsverben
liefern;deliver;Alltagsverben
packen;pack;Alltagsverben
auspacken;unpack;Alltagsverben
einpacken;wrap;Alltagsverben
anziehen;put on;Alltagsverben
ausziehen;take off;Alltagsverben
umziehen;move house;Alltagsverben
duschen;shower;Alltagsverben
rasieren;shave;Alltagsverben
kämmen;comb;Alltagsverben
bügeln;iron;Alltagsverben
falten;fold;Alltagsverben
gießen;water;Alltagsverben
schneiden;cut;Alltagsverben
drehen;turn;Alltagsverben
drücken;press;Alltagsverben
tippen;type;Alltagsverben
klicken;click;Alltagsverben
laden;charge;Alltagsverben
installieren;install;Alltagsverben
aktualisieren;update;Alltagsverben
sortieren;sort;Alltagsverben
teilen;share;Alltagsverben
erstellen;create;Alltagsverben
bearbeiten;edit;Alltagsverben
vergleichen;compare;Alltagsverben
Recht;law;Recht
Rechtsordnung;legal system;Recht
Rechtsstaat;rule of law;Recht
Rechtsquelle;source of law;Recht
Gesetz;statute;Recht
Verordnung;ordinance;Recht
Bundesverfassung;Federal Constitution;Recht
Artikel;article;Recht
Absatz;paragraph;Recht
Buchstabe;letter;Recht
Ziffer;number;Recht
Randziffer;margin note;Recht
Bestimmung;provision;Recht
Norm;norm;Recht
Regel;rule;Recht
Auslegung;interpretation;Recht
Grammatische Auslegung;literal interpretation;Recht
Systematische Auslegung;systematic interpretation;Recht
Historische Auslegung;historical interpretation;Recht
Teleologische Auslegung;purposive interpretation;Recht
Rechtsprechung;case law;Recht
Lehre;legal doctrine;Recht
Praxis;practice;Recht
Präjudiz;precedent;Recht
Entscheid;decision;Recht
Urteil;judgment;Recht
Beschluss;resolution;Recht
Verfügung;administrative decision;Recht
Rechtsmittel;legal remedy;Recht
Beschwerde;appeal;Recht
Berufung;appeal;Recht
Revision;revision;Recht
Wiedererwägung;reconsideration;Recht
Nichtigkeit;nullity;Recht
Anfechtbarkeit;voidability;Recht
Gültigkeit;validity;Recht
Wirksamkeit;effectiveness;Recht
Rechtsfähigkeit;legal capacity;Recht
Handlungsfähigkeit;capacity to act;Recht
Urteilsfähigkeit;capacity of judgment;Recht
Volljährigkeit;age of majority;Recht
Minderjährigkeit;minority;Recht
Vertretung;representation;Recht
Stellvertretung;agency;Recht
Vollmacht;power of attorney;Recht
Prokura;commercial power of attorney;Recht
Handlungsvollmacht;commercial authority;Recht
Vertreter;representative;Recht
Bevollmächtigter;authorized agent;Recht
Treuhänder;trustee;Recht
Ermessen;discretion;Recht
Rechtsmissbrauch;abuse of rights;Recht
Treu und Glauben;good faith;Recht
Gleichbehandlung;equal treatment;Recht
Verhältnismässigkeit;proportionality;Recht
Willkür;arbitrariness;Recht
Zuständigkeit;jurisdiction;Recht
Gerichtsstand;place of jurisdiction;Recht
Sachliche Zuständigkeit;subject matter jurisdiction;Recht
Örtliche Zuständigkeit;territorial jurisdiction;Recht
Parteifähigkeit;capacity to be a party;Recht
Prozessfähigkeit;capacity to litigate;Recht
Aktivlegitimation;standing to sue;Recht
Passivlegitimation;standing to be sued;Recht
Kläger;claimant;Recht
Beklagter;defendant;Recht
Gesuchsteller;applicant;Recht
Beschwerdeführer;appellant;Recht
Beschwerdegegner;respondent;Recht
Rechtsbegehren;legal request;Recht
Klage;action;Recht
Widerklage;counterclaim;Recht
Klageantwort;statement of defense;Recht
Replik;reply;Recht
Duplik;rejoinder;Recht
Beweis;evidence;Recht
Beweismittel;means of evidence;Recht
Beweislast;burden of proof;Recht
Beweismass;standard of proof;Recht
Zeuge;witness;Recht
Urkunde;documentary evidence;Recht
Gutachten;expert opinion;Recht
Sachverständiger;expert;Recht
Verhandlung;hearing;Recht
Hauptverhandlung;main hearing;Recht
Vergleich;settlement;Recht
Schlichtung;conciliation;Recht
Mediation;mediation;Recht
Schiedsgericht;arbitral tribunal;Recht
Schiedsverfahren;arbitration;Recht
Vollstreckung;enforcement;Recht
Betreibung;debt enforcement;Recht
Pfändung;seizure;Recht
Konkurs;bankruptcy;Recht
Nachlassverfahren;composition proceedings;Recht
Liquidation;liquidation;Recht
Sanierung;restructuring;Recht
Insolvenz;insolvency;Recht
Zahlungsunfähigkeit;inability to pay;Recht
Überschuldung;overindebtedness;Recht
Forderung;claim;Recht
Schuld;debt;Recht
Gläubiger;creditor;Recht
Schuldner;debtor;Recht
Drittschuldner;third party debtor;Recht
Bürge;guarantor;Recht
Bürgschaft;guarantee;Recht
Garantie;guarantee;Recht
Sicherheit;security;Recht
Kaution;deposit;Recht
Pfand;pledge;Recht
Faustpfand;possessory pledge;Recht
Grundpfand;real estate lien;Recht
Hypothek;mortgage;Recht
Schuldbrief;mortgage note;Recht
Eigentum;ownership;Recht
Besitz;possession;Recht
Dienstbarkeit;easement;Recht
Nutzniessung;usufruct;Recht
Grundbuch;land register;Recht
Grundstück;plot of land;Recht
Liegenschaft;real property;Recht
Stockwerkeigentum;condominium ownership;Recht
Miteigentum;co-ownership;Recht
Gesamteigentum;joint ownership;Recht
Erwerb;acquisition;Recht
Veräusserung;disposal;Recht
Übertragung;transfer;Recht
Abtretung;assignment;Recht
Zession;assignment;Recht
Schuldübernahme;assumption of debt;Recht
Vertrag;contract;Recht
Vertragspartei;contracting party;Recht
Vertragsabschluss;conclusion of contract;Recht
Antrag;offer;Recht
Annahme;acceptance;Recht
Willenserklärung;declaration of intent;Recht
Konsens;consent;Recht
Dissens;disagreement;Recht
Formvorschrift;formal requirement;Recht
Schriftform;written form;Recht
Öffentliche Beurkundung;notarial certification;Recht
Unterschrift;signature;Recht
Elektronische Signatur;electronic signature;Recht
Vertragsfreiheit;freedom of contract;Recht
Inhaltsfreiheit;freedom to determine content;Recht
Abschlussfreiheit;freedom to contract;Recht
Formfreiheit;freedom of form;Recht
Allgemeine Geschäftsbedingungen;general terms and conditions;Recht
AGB;terms and conditions;Recht
Klausel;clause;Recht
Haftungsausschluss;disclaimer;Recht
Gewährleistung;warranty;Recht
Mangel;defect;Recht
Sachmangel;material defect;Recht
Rechtsmangel;defect in title;Recht
Mängelrüge;notice of defects;Recht
Nachbesserung;repair;Recht
Ersatzlieferung;replacement delivery;Recht
Minderung;price reduction;Recht
Wandelung;rescission;Recht
Rücktritt;withdrawal;Recht
Kündigung;termination;Recht
Anfechtung;challenge;Recht
Irrtum;error;Recht
Täuschung;deception;Recht
Drohung;duress;Recht
Übervorteilung;exploitation;Recht
Unmöglichkeit;impossibility;Recht
Verzug;default;Recht
Schuldnerverzug;debtor default;Recht
Gläubigerverzug;creditor default;Recht
Mahnung;reminder;Recht
Frist;deadline;Recht
Verjährung;limitation period;Recht
Verwirkung;forfeiture;Recht
Erfüllung;performance;Recht
Nichterfüllung;non-performance;Recht
Schlechterfüllung;defective performance;Recht
Vertragsverletzung;breach of contract;Recht
Schaden;damage;Recht
Schadenersatz;damages;Recht
Genugtuung;compensation for moral harm;Recht
Kausalität;causation;Recht
Adäquate Kausalität;adequate causation;Recht
Verschulden;fault;Recht
Absicht;intent;Recht
Fahrlässigkeit;negligence;Recht
Grobe Fahrlässigkeit;gross negligence;Recht
Leichte Fahrlässigkeit;slight negligence;Recht
Haftung;liability;Recht
Vertragliche Haftung;contractual liability;Recht
Ausservertragliche Haftung;non-contractual liability;Recht
Kausalhaftung;strict liability;Recht
Produktehaftung;product liability;Recht
Organhaftung;liability of corporate bodies;Recht
Organ;type of corporate body;Recht
Verwaltungsrat;board of directors;Recht
